core.externalId,core.name,core.resourceName,core.resourceType,Parent: Technical Data Set,core.classType,core.description,core.technicalDescription,core.reference,core.businessName,Business Dataset,Glossaries: Recommended,Glossaries: Accepted,Automatic Assignment,Glossaries: Rejected,Generated Classifications: Recommended,Generated Classifications: Rejected,Data Classifications: Accepted,Data Classifications: Rejected,core.Position,core.assetLifecycle,Stakeholder: Governance Administrator,Stakeholder: Governance Owner,Stakeholder: System Admin,Stakeholder: DG Admin,Stakeholder: Technical Data Steward,Stakeholder: Force delete,Stakeholder: DQ Analyst,Stakeholder: DG Viewer,Stakeholders Type,DQ : Validity : Score,DQ : Aggregated Score,HierarchicalPath,Operation,core.createdOn,core.createdBy,core.modifiedOn,core.modifiedBy,core.identity,core.location,core.origin
7f194812-5426-3b18-9c97-315f6b4d7dc1://xe/DEMO/IOB_CUSTOMERS/ADDRESS~com.infa.odin.models.relational.Column,ADDRESS,Ora_test,Oracle,IOB_CUSTOMERS,com.infa.odin.models.relational.Column,,,false,,,"",,"",,Address,"","","",7,Published,,"","","","","","","",,,,Ora_test/xe/DEMO/IOB_CUSTOMERS/ADDRESS,Update,"Dec 05, 2024, 07:45:20 AM",manoj_GE,"Dec 05, 2024, 07:45:20 AM",manoj_GE,1010fe7f-a269-4a52-ba9a-92f8d6215fad,7f194812-5426-3b18-9c97-315f6b4d7dc1://7f194812-5426-3b18-9c97-315f6b4d7dc1/xe/DEMO/IOB_CUSTOMERS/ADDRESS,7f194812-5426-3b18-9c97-315f6b4d7dc1
7f194812-5426-3b18-9c97-315f6b4d7dc1://xe/DEMO/IOB_CUSTOMERS/DATEOFBIRTH~com.infa.odin.models.relational.Column,DATEOFBIRTH,Ora_test,Oracle,IOB_CUSTOMERS,com.infa.odin.models.relational.Column,,,false,,,"",,"",,,"","","",4,Published,,"","","","","","","",,,,Ora_test/xe/DEMO/IOB_CUSTOMERS/DATEOFBIRTH,Update,"Dec 05, 2024, 07:45:20 AM",manoj_GE,"Dec 05, 2024, 07:45:20 AM",manoj_GE,2171602d-19ec-4cf7-bdc5-94c570ee260f,7f194812-5426-3b18-9c97-315f6b4d7dc1://7f194812-5426-3b18-9c97-315f6b4d7dc1/xe/DEMO/IOB_CUSTOMERS/DATEOFBIRTH,7f194812-5426-3b18-9c97-315f6b4d7dc1
7f194812-5426-3b18-9c97-315f6b4d7dc1://xe/DEMO/IOB_CUSTOMERS/CUSTOMERID~com.infa.odin.models.relational.Column,CUSTOMERID,Ora_test,Oracle,IOB_CUSTOMERS,com.infa.odin.models.relational.Column,"",,false,Customer Name,,"",Customer Name | BT-200,"",Test_bt | BT-201,Customer Identifier,"","","",1,Published,manoj_GE,"","","","","","","",Assigned,,,Ora_test/xe/DEMO/IOB_CUSTOMERS/CUSTOMERID,Update,"Dec 05, 2024, 07:45:20 AM",manoj_GE,"Mar 13, 2025, 10:25:11 AM",manoj_GE,9e561e58-a31b-4262-8bd5-30826566d588,7f194812-5426-3b18-9c97-315f6b4d7dc1://7f194812-5426-3b18-9c97-315f6b4d7dc1/xe/DEMO/IOB_CUSTOMERS/CUSTOMERID,7f194812-5426-3b18-9c97-315f6b4d7dc1
7f194812-5426-3b18-9c97-315f6b4d7dc1://xe/DEMO/IOB_CUSTOMERS/LASTNAME~com.infa.odin.models.relational.Column,LASTNAME,Ora_test,Oracle,IOB_CUSTOMERS,com.infa.odin.models.relational.Column,,,false,,,"",product specification | BT-211,"",,Last Name,"","","",3,Published,,"","","","","","","",,,,Ora_test/xe/DEMO/IOB_CUSTOMERS/LASTNAME,Update,"Dec 05, 2024, 07:45:20 AM",manoj_GE,"Dec 05, 2024, 07:45:20 AM",manoj_GE,03e85a36-86f1-4c67-9f2a-182843efd0f3,7f194812-5426-3b18-9c97-315f6b4d7dc1://7f194812-5426-3b18-9c97-315f6b4d7dc1/xe/DEMO/IOB_CUSTOMERS/LASTNAME,7f194812-5426-3b18-9c97-315f6b4d7dc1
7f194812-5426-3b18-9c97-315f6b4d7dc1://xe/DEMO/IOB_CUSTOMERS/EMAIL~com.infa.odin.models.relational.Column,EMAIL,Ora_test,Oracle,IOB_CUSTOMERS,com.infa.odin.models.relational.Column,,,false,,,"",,"",,Email,"","","",5,Published,,"","","","","","","",,,,Ora_test/xe/DEMO/IOB_CUSTOMERS/EMAIL,Update,"Dec 05, 2024, 07:45:20 AM",manoj_GE,"Dec 05, 2024, 07:45:20 AM",manoj_GE,da3fcae7-54c5-4567-aeed-d7e8174b36d3,7f194812-5426-3b18-9c97-315f6b4d7dc1://7f194812-5426-3b18-9c97-315f6b4d7dc1/xe/DEMO/IOB_CUSTOMERS/EMAIL,7f194812-5426-3b18-9c97-315f6b4d7dc1
7f194812-5426-3b18-9c97-315f6b4d7dc1://xe/DEMO/IOB_CUSTOMERS/BRANCHID~com.infa.odin.models.relational.Column,BRANCHID,Ora_test,Oracle,IOB_CUSTOMERS,com.infa.odin.models.relational.Column,,,false,,,"",,"",,Branch Identifier,"","","",8,Published,,"","","","","","","",,,,Ora_test/xe/DEMO/IOB_CUSTOMERS/BRANCHID,Update,"Dec 05, 2024, 07:45:20 AM",manoj_GE,"Dec 05, 2024, 07:45:20 AM",manoj_GE,e60e479d-1d2a-44ad-b626-ec34bafe6bde,7f194812-5426-3b18-9c97-315f6b4d7dc1://7f194812-5426-3b18-9c97-315f6b4d7dc1/xe/DEMO/IOB_CUSTOMERS/BRANCHID,7f194812-5426-3b18-9c97-315f6b4d7dc1
7f194812-5426-3b18-9c97-315f6b4d7dc1://xe/DEMO/IOB_CUSTOMERS/FIRSTNAME~com.infa.odin.models.relational.Column,FIRSTNAME,Ora_test,Oracle,IOB_CUSTOMERS,com.infa.odin.models.relational.Column,,,false,,Core | DS-13,"",Customer Name | BT-217;Customer Name | BT-200,"",,First Name,"","","",2,Published,,"","","","","","","",Assigned,100.000,100.000,Ora_test/xe/DEMO/IOB_CUSTOMERS/FIRSTNAME,Update,"Dec 05, 2024, 07:45:20 AM",manoj_GE,"Dec 05, 2024, 07:45:20 AM",manoj_GE,fcadd4c7-b4eb-401b-9db5-faf3df86cda1,7f194812-5426-3b18-9c97-315f6b4d7dc1://7f194812-5426-3b18-9c97-315f6b4d7dc1/xe/DEMO/IOB_CUSTOMERS/FIRSTNAME,7f194812-5426-3b18-9c97-315f6b4d7dc1
7f194812-5426-3b18-9c97-315f6b4d7dc1://xe/DEMO/IOB_CUSTOMERS/PHONENUMBER~com.infa.odin.models.relational.Column,PHONENUMBER,Ora_test,Oracle,IOB_CUSTOMERS,com.infa.odin.models.relational.Column,,,false,,,"",,"",,Phone Number,"","","",6,Published,,"","","","","","","",,,,Ora_test/xe/DEMO/IOB_CUSTOMERS/PHONENUMBER,Update,"Dec 05, 2024, 07:45:20 AM",manoj_GE,"Dec 05, 2024, 07:45:20 AM",manoj_GE,ca6fa881-e9dc-4a99-9c6a-e178ca9da3c0,7f194812-5426-3b18-9c97-315f6b4d7dc1://7f194812-5426-3b18-9c97-315f6b4d7dc1/xe/DEMO/IOB_CUSTOMERS/PHONENUMBER,7f194812-5426-3b18-9c97-315f6b4d7dc1
