core.externalId,core.name,core.description,Data type Scale,com.infa.odin.models.sappd.Nullable,Data type,Partition By,Primary Key Column,Data type Length,Position (com_infa_odin_models_relational_position),Cluster By,HierarchicalPath,core.technicalDescription,core.createdOn,core.createdBy,core.modifiedOn,core.modifiedBy,core.identity,core.location,core.origin
7f194812-5426-3b18-9c97-315f6b4d7dc1://xe/DEMO/IOB_CUSTOMERS/ADDRESS~com.infa.odin.models.relational.Column,ADDRESS,,,true,VARCHAR2,,false,200,,,Ora_test/xe/DEMO/IOB_CUSTOMERS/ADDRESS,,"Dec 05, 2024, 07:45:20 AM",manoj_GE,"Dec 05, 2024, 07:45:20 AM",manoj_GE,1010fe7f-a269-4a52-ba9a-92f8d6215fad,7f194812-5426-3b18-9c97-315f6b4d7dc1://7f194812-5426-3b18-9c97-315f6b4d7dc1/xe/DEMO/IOB_CUSTOMERS/ADDRESS,7f194812-5426-3b18-9c97-315f6b4d7dc1
7f194812-5426-3b18-9c97-315f6b4d7dc1://xe/DEMO/IOB_CUSTOMERS/DATEOFBIRTH~com.infa.odin.models.relational.Column,DATEOFBIRTH,,,false,DATE,,false,7,,,Ora_test/xe/DEMO/IOB_CUSTOMERS/DATEOFBIRTH,,"Dec 05, 2024, 07:45:20 AM",manoj_GE,"Dec 05, 2024, 07:45:20 AM",manoj_GE,2171602d-19ec-4cf7-bdc5-94c570ee260f,7f194812-5426-3b18-9c97-315f6b4d7dc1://7f194812-5426-3b18-9c97-315f6b4d7dc1/xe/DEMO/IOB_CUSTOMERS/DATEOFBIRTH,7f194812-5426-3b18-9c97-315f6b4d7dc1
7f194812-5426-3b18-9c97-315f6b4d7dc1://xe/DEMO/IOB_CUSTOMERS/CUSTOMERID~com.infa.odin.models.relational.Column,CUSTOMERID,"",,false,NUMBER,,true,38,,,Ora_test/xe/DEMO/IOB_CUSTOMERS/CUSTOMERID,,"Dec 05, 2024, 07:45:20 AM",manoj_GE,"Mar 13, 2025, 10:25:11 AM",manoj_GE,9e561e58-a31b-4262-8bd5-30826566d588,7f194812-5426-3b18-9c97-315f6b4d7dc1://7f194812-5426-3b18-9c97-315f6b4d7dc1/xe/DEMO/IOB_CUSTOMERS/CUSTOMERID,7f194812-5426-3b18-9c97-315f6b4d7dc1
7f194812-5426-3b18-9c97-315f6b4d7dc1://xe/DEMO/IOB_CUSTOMERS/LASTNAME~com.infa.odin.models.relational.Column,LASTNAME,,,false,VARCHAR2,,false,50,,,Ora_test/xe/DEMO/IOB_CUSTOMERS/LASTNAME,,"Dec 05, 2024, 07:45:20 AM",manoj_GE,"Dec 05, 2024, 07:45:20 AM",manoj_GE,03e85a36-86f1-4c67-9f2a-182843efd0f3,7f194812-5426-3b18-9c97-315f6b4d7dc1://7f194812-5426-3b18-9c97-315f6b4d7dc1/xe/DEMO/IOB_CUSTOMERS/LASTNAME,7f194812-5426-3b18-9c97-315f6b4d7dc1
7f194812-5426-3b18-9c97-315f6b4d7dc1://xe/DEMO/IOB_CUSTOMERS/EMAIL~com.infa.odin.models.relational.Column,EMAIL,,,false,VARCHAR2,,false,100,,,Ora_test/xe/DEMO/IOB_CUSTOMERS/EMAIL,,"Dec 05, 2024, 07:45:20 AM",manoj_GE,"Dec 05, 2024, 07:45:20 AM",manoj_GE,da3fcae7-54c5-4567-aeed-d7e8174b36d3,7f194812-5426-3b18-9c97-315f6b4d7dc1://7f194812-5426-3b18-9c97-315f6b4d7dc1/xe/DEMO/IOB_CUSTOMERS/EMAIL,7f194812-5426-3b18-9c97-315f6b4d7dc1
7f194812-5426-3b18-9c97-315f6b4d7dc1://xe/DEMO/IOB_CUSTOMERS/BRANCHID~com.infa.odin.models.relational.Column,BRANCHID,,,false,NUMBER,,false,38,,,Ora_test/xe/DEMO/IOB_CUSTOMERS/BRANCHID,,"Dec 05, 2024, 07:45:20 AM",manoj_GE,"Dec 05, 2024, 07:45:20 AM",manoj_GE,e60e479d-1d2a-44ad-b626-ec34bafe6bde,7f194812-5426-3b18-9c97-315f6b4d7dc1://7f194812-5426-3b18-9c97-315f6b4d7dc1/xe/DEMO/IOB_CUSTOMERS/BRANCHID,7f194812-5426-3b18-9c97-315f6b4d7dc1
7f194812-5426-3b18-9c97-315f6b4d7dc1://xe/DEMO/IOB_CUSTOMERS/PHONENUMBER~com.infa.odin.models.relational.Column,PHONENUMBER,,,true,VARCHAR2,,false,15,,,Ora_test/xe/DEMO/IOB_CUSTOMERS/PHONENUMBER,,"Dec 05, 2024, 07:45:20 AM",manoj_GE,"Dec 05, 2024, 07:45:20 AM",manoj_GE,ca6fa881-e9dc-4a99-9c6a-e178ca9da3c0,7f194812-5426-3b18-9c97-315f6b4d7dc1://7f194812-5426-3b18-9c97-315f6b4d7dc1/xe/DEMO/IOB_CUSTOMERS/PHONENUMBER,7f194812-5426-3b18-9c97-315f6b4d7dc1
7f194812-5426-3b18-9c97-315f6b4d7dc1://xe/DEMO/IOB_CUSTOMERS/FIRSTNAME~com.infa.odin.models.relational.Column,FIRSTNAME,,,false,VARCHAR2,,false,50,,,Ora_test/xe/DEMO/IOB_CUSTOMERS/FIRSTNAME,,"Dec 05, 2024, 07:45:20 AM",manoj_GE,"Dec 05, 2024, 07:45:20 AM",manoj_GE,fcadd4c7-b4eb-401b-9db5-faf3df86cda1,7f194812-5426-3b18-9c97-315f6b4d7dc1://7f194812-5426-3b18-9c97-315f6b4d7dc1/xe/DEMO/IOB_CUSTOMERS/FIRSTNAME,7f194812-5426-3b18-9c97-315f6b4d7dc1
