core.externalId,core.name,core.description,core.assetLifecycle,Alias Names,Stakeholder: DG Admin,Stakeholder: DG Viewer,Stakeholder: Governance Administrator,Stakeholder: System Admin,Stakeholder: Governance Owner,Stakeholder: Technical Data Steward,Stakeholder: Force delete,Stakeholder: DQ Analyst,Stakeholders Type,HierarchicalPath,Operation,core.createdOn,core.createdBy,core.modifiedOn,core.modifiedBy,core.identity,core.location,core.origin
DOM-6,Customer,Customer Domain,Published,,Kaleb;Beth_R,,jessica_GE;manoj_GE,Suresh;Abdullah_GE,"","","","",Assigned,Customer,Update,"Dec 07, 2024, 03:51:07 AM",manoj_GE,"Jan 29, 2025, 10:18:22 AM",manoj_GE,0de78700-07cd-47e0-a71a-65c3a24da16e,CDGC://0de78700-07cd-47e0-a71a-65c3a24da16e,CDGC
DOM-7,Asset,Asset domain,Published,,,Maureen_Butler,manoj_GE,,"","","","",Assigned,Asset,Update,"Jan 27, 2025, 09:45:10 AM",manoj_GE,"Jan 29, 2025, 10:18:02 AM",manoj_GE,c602bee1-ee44-4871-a74f-1dab25c23229,CDGC://c602bee1-ee44-4871-a74f-1dab25c23229,CDGC
DOM-8,Laptops,,Published,,,,manoj_GE,,"","","","",Assigned,Laptops,Update,"Jan 29, 2025, 10:39:27 AM",manoj_GE,"Jan 29, 2025, 11:01:47 AM",manoj_GE,12c4a8d3-9840-4843-9b3b-a38ef066b315,CDGC://12c4a8d3-9840-4843-9b3b-a38ef066b315,CDGC
DOM-9,Mobile Phones,,Published,,,,manoj_GE,,"","","","",Assigned,Mobile Phones,Update,"Jan 29, 2025, 10:39:47 AM",manoj_GE,"Jan 29, 2025, 12:57:21 PM",manoj_GE,fd1dc303-327c-46bf-939d-9ca01ef37de0,CDGC://fd1dc303-327c-46bf-939d-9ca01ef37de0,CDGC
