core.externalId,core.name,core.resourceName,core.resourceType,core.classType,core.description,core.technicalDescription,core.reference,core.assetLifecycle,core.connectionProvider,core.lastScannedBy,core.scannerReleaseVersion,core.externalURIs,core.lastScannedOn,core.referenceResourceType,core.lastIncrementalScanOn,core.lastFullScanOn,Stakeholder: Governance Owner,Stakeholder: System Admin,Stakeholder: Governance Administrator,Stakeholder: DG Admin,Stakeholder: Technical Data Steward,Stakeholder: Force delete,Stakeholder: DQ Analyst,Stakeholder: DG Viewer,Stakeholders Type,HierarchicalPath,Operation,core.createdOn,core.createdBy,core.modifiedOn,core.modifiedBy,core.identity,core.location,core.origin
7f194812-5426-3b18-9c97-315f6b4d7dc1://7f194812-5426-3b18-9c97-315f6b4d7dc1~core.Resource,Ora_test,Ora_test,Oracle,core.Resource,"",,false,Published,,manoj_sagent,202410,,2024-12-06,,,,"","","","","","","","",,Ora_test,Update,"Dec 05, 2024, 07:35:00 AM",manoj_GE,"Dec 07, 2024, 02:56:48 AM",manoj_GE,98f8dde6-b093-4e9a-9d63-0bc91a871ccc,7f194812-5426-3b18-9c97-315f6b4d7dc1://7f194812-5426-3b18-9c97-315f6b4d7dc1,7f194812-5426-3b18-9c97-315f6b4d7dc1
def9ccd7-e997-3193-a2a5-203d8566bd2a://def9ccd7-e997-3193-a2a5-203d8566bd2a~core.Resource,Electronics,Electronics,File System,core.Resource,"",,false,Published,,,,,,,,,"","","","","","","","",,Electronics,Update,"Jan 29, 2025, 12:48:49 PM",manoj_GE,"Jan 29, 2025, 12:48:49 PM",manoj_GE,c5802482-eadd-49fc-8be8-468fb4ed005a,def9ccd7-e997-3193-a2a5-203d8566bd2a://def9ccd7-e997-3193-a2a5-203d8566bd2a,def9ccd7-e997-3193-a2a5-203d8566bd2a
eb478108-b246-32ea-b01d-9aed06506ba4://eb478108-b246-32ea-b01d-9aed06506ba4~core.Resource,Pdf_Test,Pdf_Test,File System,core.Resource,"",,false,Published,,,,,,,,,"","","","","","","","",,Pdf_Test,Update,"Feb 07, 2025, 08:31:40 AM",jessica_GE,"Feb 07, 2025, 08:31:40 AM",jessica_GE,1c6d5cb4-83ea-4368-b613-18487f0e5d99,eb478108-b246-32ea-b01d-9aed06506ba4://eb478108-b246-32ea-b01d-9aed06506ba4,eb478108-b246-32ea-b01d-9aed06506ba4
