core.externalId,core.name,core.resourceName,core.resourceType,Parent: Catalog Source,Parent: Technical Data source,core.classType,core.description,core.technicalDescription,core.externalConnectionName,core.reference,core.mergeFacts,core.assetLifecycle,core.assignable,core.externalConnectionUsage,core.externalConnectionQualifier,Stakeholder: Governance Owner,Stakeholder: System Admin,Stakeholder: Governance Administrator,Stakeholder: DG Admin,Stakeholder: Technical Data Steward,Stakeholder: Force delete,Stakeholder: DQ Analyst,Stakeholder: DG Viewer,Stakeholders Type,HierarchicalPath,Operation,core.createdOn,core.createdBy,core.modifiedOn,core.modifiedBy,core.identity,core.location,core.origin
7f194812-5426-3b18-9c97-315f6b4d7dc1://xe/DEMO~com.infa.odin.models.relational.Schema,DEMO,Ora_test,Oracle,,xe,com.infa.odin.models.relational.Schema,,,,false,,Published,true,,,"","","","","","","","",,Ora_test/xe/DEMO,Update,"Dec 05, 2024, 07:45:20 AM",manoj_GE,"Dec 05, 2024, 07:45:20 AM",manoj_GE,0c753b11-5f59-4350-ab47-ff21c1add266,7f194812-5426-3b18-9c97-315f6b4d7dc1://7f194812-5426-3b18-9c97-315f6b4d7dc1/xe/DEMO,7f194812-5426-3b18-9c97-315f6b4d7dc1
7f194812-5426-3b18-9c97-315f6b4d7dc1://xe~com.infa.odin.models.relational.Database,xe,Ora_test,Oracle,Ora_test,,com.infa.odin.models.relational.Database,,,,false,,Published,true,,,"","","","","","","","",,Ora_test/xe,Update,"Dec 05, 2024, 07:45:36 AM",manoj_GE,"Dec 05, 2024, 07:45:36 AM",manoj_GE,4f83fe74-a080-429e-b735-5096c8805c91,7f194812-5426-3b18-9c97-315f6b4d7dc1://7f194812-5426-3b18-9c97-315f6b4d7dc1/xe,7f194812-5426-3b18-9c97-315f6b4d7dc1
