core.externalId,core.name,core.description,com.infa.ccgf.models.governance.TechnicalDescription,core.assetLifecycle,com.infa.ccgf.models.governance.Frequency,com.infa.ccgf.models.governance.ruleInputPortName,com.infa.ccgf.models.governance.scannedTime,com.infa.ccgf.models.governance.TechnicalRuleReference,com.infa.ccgf.models.governance.Threshold,com.infa.ccgf.models.governance.exception,com.infa.ccgf.models.governance.RuleType,com.infa.ccgf.models.governance.MeasuringMethod,com.infa.ccgf.models.governance.value,com.infa.ccgf.models.governance.totalCount,com.infa.ccgf.models.governance.Criticality,com.infa.ccgf.models.governance.Target,Primary Data Element,Secondary Data Element,Stakeholder: Admin,Stakeholder: Custom Role - Data Steward,Stakeholder: Governance Administrator,Stakeholder: Governance Owner,Stakeholder: Super Admin,Stakeholder: Bank_Details_Consumer,Stakeholder: test super Stakeholder Role,Stakeholder: Bank_Details_Owner,Stakeholders Type,HierarchicalPath,Operation,core.createdOn,core.createdBy,core.modifiedOn,core.modifiedBy,core.identity,core.location,core.origin
DQO-77,DQRO_Valid_PersonID,,Checking null values,Published,Weekly,,2025-03-19T13:01:47.91,5yqRwfWOZ4iiS2Wtoma9u8,70.00,0,Accuracy,InformaticaCloudDataQuality,100.00,10,Medium,90.00,599ac44a-6e23-36ab-85f2-b52fcbc8bd27://john/dbo/BankAccount/PersonID~com.infa.odin.models.relational.Column,"",,,,,"","","","",,_john_MainDB_SQL/john/dbo/BankAccount/PersonID/DQRO_Valid_PersonID,Update,"Mar 18, 2025, 06:44:51 AM",abish,"Mar 19, 2025, 01:04:38 PM",abish,253bfa1d-a7f7-4989-be08-6ba2b20f5183,599ac44a-6e23-36ab-85f2-b52fcbc8bd27://599ac44a-6e23-36ab-85f2-b52fcbc8bd27/john/dbo/BankAccount/PersonID/253bfa1d-a7f7-4989-be08-6ba2b20f5183,599ac44a-6e23-36ab-85f2-b52fcbc8bd27
DQO-18,DQRO_ContryCode,,The rule used to check whether the CountryCode is accurate.,Published,,CountryCode,2024-10-01T06:18:17.299,3ZyeIbYtxLubyJz7SgI7KZ,60.00,0,Accuracy,InformaticaCloudDataQuality,100.00,25,Medium,80.00,b68dfe13-48bf-377d-8362-6c5fb2c83697://xe/HR/COUNTRIES/COUNTRY_ID~com.infa.odin.models.relational.Column,"",,,infa_admin;AswathyNagarajan;kaviya,,"","","","",Assigned,Oracle_HR/xe/HR/COUNTRIES/COUNTRY_ID/DQRO_ContryCode,Update,"Sep 25, 2024, 01:37:46 PM",kaviya,"Oct 01, 2024, 06:20:05 AM",kaviya,2e80c349-d964-4456-8dc8-9cfb8be06ceb,b68dfe13-48bf-377d-8362-6c5fb2c83697://b68dfe13-48bf-377d-8362-6c5fb2c83697/xe/HR/COUNTRIES/COUNTRY_ID/2e80c349-d964-4456-8dc8-9cfb8be06ceb,b68dfe13-48bf-377d-8362-6c5fb2c83697
DQO-95,DQRO_PolicyID,,-,Published,Weekly,,2025-03-19T13:01:43.825,0q44jO9ykoshTdImYUTH4m,70.00,0,Uniqueness,InformaticaCloudDataQuality,100.00,10,Medium,90.00,599ac44a-6e23-36ab-85f2-b52fcbc8bd27://john/dbo/Insurance/PolicyID~com.infa.odin.models.relational.Column,"",,,,,"","","","",,_john_MainDB_SQL/john/dbo/Insurance/PolicyID/DQRO_PolicyID,Update,"Mar 19, 2025, 11:53:20 AM",AshikaA,"Mar 19, 2025, 01:04:38 PM",abish,2f41b4a6-85d1-41e3-9a67-8ab976673db8,599ac44a-6e23-36ab-85f2-b52fcbc8bd27://599ac44a-6e23-36ab-85f2-b52fcbc8bd27/john/dbo/Insurance/PolicyID/2f41b4a6-85d1-41e3-9a67-8ab976673db8,599ac44a-6e23-36ab-85f2-b52fcbc8bd27
DQO-112,DQRO_GraduationYear,,-,Published,Weekly,,2025-03-27T14:17:05.13,0PbMC4XwKlzaZRRNFx79Sv,70.00,2,Consistency,InformaticaCloudDataQuality,80.00,10,Medium,90.00,599ac44a-6e23-36ab-85f2-b52fcbc8bd27://john/dbo/Education/GraduationYear~com.infa.odin.models.relational.Column,"",,,,,"","","","",,_john_MainDB_SQL/john/dbo/Education/GraduationYear/DQRO_GraduationYear,Update,"Mar 19, 2025, 12:26:10 PM",AshikaA,"Mar 27, 2025, 02:24:46 PM",abish,31cdcb5e-a6cc-446f-814e-962c0009f886,599ac44a-6e23-36ab-85f2-b52fcbc8bd27://599ac44a-6e23-36ab-85f2-b52fcbc8bd27/john/dbo/Education/GraduationYear/31cdcb5e-a6cc-446f-814e-962c0009f886,599ac44a-6e23-36ab-85f2-b52fcbc8bd27
DQO-87,DQRO_SCORE,,-,Published,Weekly,,2025-03-19T13:01:35.537,0PbMC4XwKlzaZRRNFx79Sv,70.00,0,Completeness,InformaticaCloudDataQuality,100.00,9,Medium,90.00,599ac44a-6e23-36ab-85f2-b52fcbc8bd27://john/dbo/STUDENTS/SCORE~com.infa.odin.models.relational.Column,"",,,,,"","","","",,_john_MainDB_SQL/john/dbo/STUDENTS/SCORE/DQRO_SCORE,Update,"Mar 19, 2025, 11:25:12 AM",AshikaA,"Mar 19, 2025, 01:04:38 PM",abish,3536189f-a5e9-4446-acbb-abb8fb6c4db6,599ac44a-6e23-36ab-85f2-b52fcbc8bd27://599ac44a-6e23-36ab-85f2-b52fcbc8bd27/john/dbo/STUDENTS/SCORE/3536189f-a5e9-4446-acbb-abb8fb6c4db6,599ac44a-6e23-36ab-85f2-b52fcbc8bd27
DQO-33,test_rule_occ,,Phone number cannot be empty.,Published,Weekly,,2024-10-10T10:21:10.039,1qdwS7zxQkQgZy6D3IVKyD,70.00,0,Accuracy,InformaticaCloudDataQuality,100.00,93,Medium,90.00,4e959567-3f59-3072-9531-3e36c6219e2f://xe/SOURCE/S_EMPLOYEES/PHONE_NUMBER~com.infa.odin.models.relational.Column,"",,,infa_admin,,"","","","",Assigned,Target-Filco/xe/SOURCE/S_EMPLOYEES/PHONE_NUMBER/test_rule_occ,Update,"Oct 10, 2024, 10:15:23 AM",infa_admin,"Oct 10, 2024, 10:23:44 AM",infa_admin,363759d5-4443-4a16-89a7-16fc98da396b,4e959567-3f59-3072-9531-3e36c6219e2f://4e959567-3f59-3072-9531-3e36c6219e2f/xe/SOURCE/S_EMPLOYEES/PHONE_NUMBER/363759d5-4443-4a16-89a7-16fc98da396b,4e959567-3f59-3072-9531-3e36c6219e2f
DQO-66,RO_test_rule,,-,Published,Weekly,name,,ezvoXcauFeiiiNcGwmQqof,70.00,,Accuracy,InformaticaCloudDataQuality,,,Medium,90.00,a0065e41-d97d-339c-8083-d40e4f7ff21b://Xe/DEMO/RISWIN_SD2_TARGET/EMP_NAME~com.infa.odin.models.relational.Column,"",,,Manoj11,,"","","","",Assigned,hanni_test1/Xe/DEMO/RISWIN_SD2_TARGET/EMP_NAME/RO_test_rule,Update,"Mar 13, 2025, 11:35:18 AM",Manoj11,"Mar 13, 2025, 11:35:55 AM",Manoj11,50bbbfd4-273f-42dd-abab-6af9259b0c1e,a0065e41-d97d-339c-8083-d40e4f7ff21b://a0065e41-d97d-339c-8083-d40e4f7ff21b/Xe/DEMO/RISWIN_SD2_TARGET/EMP_NAME/50bbbfd4-273f-42dd-abab-6af9259b0c1e,a0065e41-d97d-339c-8083-d40e4f7ff21b
DQO-93,DQRO_CoverageAmount,,-,Published,Weekly,,2025-03-19T13:01:43.825,0PbMC4XwKlzaZRRNFx79Sv,70.00,2,Accuracy,InformaticaCloudDataQuality,80.00,10,Medium,90.00,599ac44a-6e23-36ab-85f2-b52fcbc8bd27://john/dbo/Insurance/CoverageAmount~com.infa.odin.models.relational.Column,"",,,,,"","","","",,_john_MainDB_SQL/john/dbo/Insurance/CoverageAmount/DQRO_CoverageAmount,Update,"Mar 19, 2025, 11:49:15 AM",AshikaA,"Mar 19, 2025, 01:04:38 PM",abish,5d843816-b215-4793-8c3c-2cb1973c644e,599ac44a-6e23-36ab-85f2-b52fcbc8bd27://599ac44a-6e23-36ab-85f2-b52fcbc8bd27/john/dbo/Insurance/CoverageAmount/5d843816-b215-4793-8c3c-2cb1973c644e,599ac44a-6e23-36ab-85f2-b52fcbc8bd27
a28b6cda-c424-45ed-a59a-a8adf9697962,Profile_Completeness_City_PrimaryRuleSet,Profile_Completeness_City_PrimaryRuleSet,"",Published,Daily,,2025-03-24T11:52:42.233,bGnGJEBoVS2hJWtrn8ePIm,70.00,1,Completeness,InformaticaCloudDataQuality,90.00,10,High,90.00,,"",,,infa_admin,,"","","","",Assigned,Profile_Completeness_City_PrimaryRuleSet,Update,"Mar 24, 2025, 09:49:36 AM",infa_admin,"Mar 24, 2025, 11:52:42 AM",infa_admin,5eeb7c81-a109-4a0b-aa14-3f6f7e195d41,CDGC://5eeb7c81-a109-4a0b-aa14-3f6f7e195d41,CDGC
DQO-99,DQRO_Email,,-,Published,Weekly,,2025-03-19T13:01:45.322,1r9Pps3XSk1lxWTnTi11kH,70.00,0,Accuracy,InformaticaCloudDataQuality,100.00,17,Medium,90.00,599ac44a-6e23-36ab-85f2-b52fcbc8bd27://john/dbo/Employees/Email~com.infa.odin.models.relational.Column,"",,,,,"","","","",,_john_MainDB_SQL/john/dbo/Employees/Email/DQRO_Email,Update,"Mar 19, 2025, 12:02:15 PM",AshikaA,"Mar 19, 2025, 01:04:38 PM",abish,5f8a5ce6-27a5-43be-b00c-c80a4f8f664c,599ac44a-6e23-36ab-85f2-b52fcbc8bd27://599ac44a-6e23-36ab-85f2-b52fcbc8bd27/john/dbo/Employees/Email/5f8a5ce6-27a5-43be-b00c-c80a4f8f664c,599ac44a-6e23-36ab-85f2-b52fcbc8bd27
